Race,Strength,Dexterity,Vitality,Intelligence,Mind
Hyur Midlander,22,19,20,23,19
Hyur Highlander,23,20,22,18,20
Elezen Wildwood,20,23,19,22,19
Elezen Duskwight,20,20,19,23,21
Lalafell Plainsfolk,19,23,19,22,20
Lalafell Dunesfolk,19,21,18,22,23
Miqo'te Seekers of the Sun,22,23,20,19,19
Miqo'te Keepers of the Moon,19,22,18,21,23
Roegadyn Sea Wolves,22,19,23,18,21
Roegadyn Hellsguard,20,18,23,20,22
Au Ra Raen,19,22,19,20,23
Au Ra Xaela,23,20,22,20,18
Hrothgar Helions,23,17,23,17,23
Hrothgar The Lost,23,17,23,17,23
Viera Rava,20,23,18,21,21
Viera Veena,19,20,19,23,22